text,sentiment,positive,negative,neutral
Title 1: Why Apple (AAPL) Shares Are Sliding Today,neutral,0.03,0.44,0.53
Title 1: Apple (AAPL) Stock Falls Amid Market Uptick: What Investors Need to Know,neutral,0.01,0.17,0.82
"Title 1: Why We're Not Concerned About Apple Inc.'s (NASDAQ:AAPL) Share Price
Title 2: Is Apple Inc. (AAPL) the Best NASDAQ Stock to Buy in 2025?",positive,0.72,0.04,0.23
"Title 1: Apple Inc. (AAPL)’s Struggle: Can AI Help Regain Market Share in 2025?
Title 2: KeyBanc Expects Apple (AAPL) to Report Soft Guidance and Keeps Sell Rating
Title 3: Is Apple Inc. (AAPL) the Best Safe Dividend Stock for 2025?",neutral,0.19,0.14,0.67
Title 1: Apple (NASDAQ:AAPL) Seems To Use Debt Rather Sparingly,neutral,0.02,0.39,0.59
"Title 1: Apple Stock Falls 11%—Can AAPL Hold This Critical Support Level?
Title 2: Is Apple Inc. (AAPL) the Best NASDAQ Dividend Stock to Buy?",neutral,0.08,0.14,0.77
Title 1: Apple (NASDAQ:AAPL) Stock Plunges on Weak Sales and AI Challenges,negative,0.01,0.75,0.25
"Title 1: Why Is Cliff Asness Bullish On Apple Inc. (AAPL)?
Title 2: Jim Cramer on Apple Inc. (AAPL): ‘I Think When You Say Stuff Like Nothing’s Been Done Since Steve Jobs Died, I Think That’s An Ill-advised Strategy To Take I Think’
Title 3: With 61% ownership of the shares, Apple Inc. (NASDAQ:AAPL) is heavily dominated by institutional owners
Title 4: Jim Cramer on Apple Inc. (AAPL): ‘Apple Wildcard To The Downside. It’s Kind Of A Two Of Clubs’
Title 5: Did Billionaire Chen Tianqiao Dump or Bet on Apple Inc. (AAPL)?",negative,0.0,0.56,0.44
"Title 1: Jefferies Downgrades Apple Inc. (AAPL) to Underperform, Citing Weak Revenue Outlook and Subdued AI Focus",negative,0.0,0.89,0.1
Title 1: Greenlight Capital’s Updates on Apple (AAPL),neutral,0.02,0.0,0.98
Title 1: Is Apple (AAPL) Among the Stocks ChatGPT Predicts Could Make You Wealthy in 10 Years?,neutral,0.01,0.47,0.52
"Title 1: Is Apple Inc. (AAPL) The Best Bear Market Stock To Invest In Now?
Title 2: Apple Inc. (AAPL): Expanding AI Investments Propel Ecosystem Growth and Innovation
Title 3: Apple bucks DeepSeek sell-off as investors await Q1 results (NASDAQ:AAPL)
Title 4: Reasons To Hold Apple Stock As Q1 Earnings Approach (NASDAQ:AAPL)
Title 5: Apple Stock (AAPL) Rallies while AI Stocks Tumble
Title 6: Apple Inc. (AAPL): Strengthening AI Leadership with Apple Intelligence",neutral,0.25,0.01,0.75
"Title 1: Rosenblatt Securities Reaffirms Buy Rating on Apple Inc. (AAPL), Highlights Challenges from Chinese Rivals and Low iPhone Expectations
Title 2: Apple Inc. (AAPL): Jim Cramer Explains Why It’s the ‘Quarterback of Your Portfolio’
Title 3: Apple Inc. (AAPL): TD Cowen Reiterates $250 Price Target, Sees AI Advancements Driving Growth and Innovation",neutral,0.05,0.0,0.95
"Title 1: Is Apple Inc. (AAPL) the Best Consumer Electronics Stock to Invest in Now?
Title 2: Why Are Hedge Funds Bullish on Apple Inc. (AAPL)?
Title 3: Jim Cramer on Apple Inc. (AAPL): ‘We Have The Most Widely Anticipated Disappointment That I’ve Ever Seen’
Title 4: Apple Inc. (AAPL) Reports 6% Revenue Growth in Q4 2024, Driven by New Product Launches and AI Integration
Title 5: Apple (AAPL) Gets Downgraded on Reduced iPhone Sales Estimates",negative,0.02,0.63,0.35
"Title 1: Apple shares rise 3% as boost in services revenue overshadows iPhone miss
Title 2: 4 stocks to watch on Thursday: AAL, AAPL and more (SP500:S&P Complete Indices)
Title 3: Apple (NASDAQ:AAPL) Reports Q4 In Line With Expectations
Title 4: AAPL Earnings: Apple Beats EPS Estimates but Continues to Lag in China
Title 5: Why Apple (AAPL) Is the Best Stock to Buy in 2025 for Beginners
Title 6: Stocks making the biggest moves after hours: Apple, Intel, Atlassian, Deckers, Walgreens and more
Title 7: Apple Stock: It's Still A Sell (NASDAQ:AAPL)
Title 8: After Hours Most Active for Jan 30, 2025 : NVDA, INTC, AAPL, BHC, OKE, LUMN, NEP, CIFR, AMZN, BORR, QQQ, RBLX
Title 9: Dan Niles: Apple (AAPL) Bulls ‘Trying to Pretend’ an Upgrade Cycle is Coming
Title 10: Apple (AAPL) Surpasses Q1 Earnings and Revenue Estimates
Title 11: Jim Cramer on Apple (AAPL) Shares Underperforming Recently: ‘Everyone Was Shorting It Ahead Of The Quarter’
Title 12: Jim Cramer on Apple Inc. (AAPL): ‘I Said It’s Gonna Come Down, I Said It’s A Weak Quarter’",positive,0.49,0.03,0.48
"Title 1: Apple Inc. (AAPL): Integrating AI in Devices for Personal Privacy
Title 2: Apple Inc (AAPL) Q1 2025 Earnings Call Highlights: Record Revenue and EPS Amidst Global Challenges
Title 3: Apple (AAPL) Stock Climbs as AI Strategy Fuels Growth Hopes
Title 4: Is Apple Inc. (AAPL) Among Warren Buffett’s Longest-Held Stocks?
Title 5: Wall Street Scrambles to Upgrade Apple (NASDAQ:AAPL) Price Targets on Earnings and AI
Title 6: Needham Reiterates Buy Rating on Apple (AAPL)",neutral,0.06,0.01,0.94
"Title 1: Apple’s AI and AR Struggles Show It Has Lost Some of Its Product Edge
Title 2: Jim Cramer on Apple (AAPL)’s New Phone: ‘It’ll Be Too Fabulous’
Title 3: Monness Reiterates Buy on Apple Inc. (AAPL), Citing AI Potential and Ecosystem Strength
Title 4: Apple Inc. (AAPL) is Attracting Investor Attention: Here is What You Should Know
Title 5: Analyst Upgraded AAPL Target, Sees Minimal Tariff Impact on Earnings
Title 6: Jim Cramer on Apple Inc (AAPL): ‘The Watch Is Crushing It’
Title 7: Why AAPL Is Sliding Today",neutral,0.07,0.23,0.7
"Title 1: JPMorgan Reiterates Overweight Rating on Apple (AAPL)
Title 2: BofA Reiterates ‘Buy’ on Apple Inc. (AAPL), Citing AI Growth and Resilient Supply Chain Amid Tariffs
Title 3: Apple (AAPL) stock price forecast: third-party price target",neutral,0.02,0.01,0.97
"Title 1: Stocks making the biggest moves midday: Alphabet, Apple, Uber, Nvidia and more
Title 2: Jim Cramer on Apple (AAPL): ""Why Don’t People Own Apple Here?""
Title 3: China Weighs Taking Bite of Apple’s (NASDAQ:AAPL) App Store Fees",neutral,0.06,0.17,0.77
"Title 1: Apple Inc. (AAPL) – Positioned for the AI Boom, But Is It Enough?
Title 2: Apple Inc. (AAPL) Launches ‘Apple Invites’ App with AI-Driven Event Planning and Custom Invitations
Title 3: Apple’s Long-Awaited Overhaul of iPhone SE Nears Release
Title 4: SWKS Stock Plummets 23% as Apple (AAPL) Reduces Its Content Reliance for iPhone 17",neutral,0.12,0.03,0.85
"Title 1: UK Ask for Backdoor to Apple (AAPL) Users’ Data Alarms Privacy Experts
Title 2: Apple likely to unveil new iPhone SE in coming days: report (AAPL)",positive,0.76,0.0,0.24
"Title 1: Apple: Weak Growth At An Unreasonable Price (NASDAQ:AAPL)
Title 2: Dan Niles Says Apple (AAPL) Has ‘No AI Presence’
Title 3: Apple Stock: Forget Q1 Results
Title 4: After Hours Most Active for Feb 10, 2025 : INTC, PINS, NVDA, MSFT, PFE, WBD, IP, PLTR, AAPL, ALTM, FCX, SNAP
Title 5: Experts Predict How High Apple Stock Could Go in 2025
Title 6: Apple Is Not Overvalued, Buy And Hold (NASDAQ:AAPL)
Title 7: Apple Inc. (AAPL) Begins Mass Production of AI-Optimized M5 Chip for Next-Gen Devices
Title 8: Is Apple Inc. (AAPL) the Best Stock to Invest In for Grandchildren?
Title 9: Apple (AAPL): ‘How Could It Be a Surprise?’ Jim Cramer Questions the Bearish Narrative",positive,0.52,0.03,0.44
"Title 1: Steve Jobs Delivered Powerful Life Message In His Most Memorable Speech: 'Your Time is Limited So Don't Waste It Living Someone Else's Life'
Title 2: Live Markets: S&P Flips Green, KO, AAPL, INTC Rise
Title 3: Morgan Stanley Keeps Its Apple (AAPL) Buy Rating amid Optimistic iPhone SE 4 Outlook
Title 4: (AAPL) Trading Advice
Title 5: Why AAPL Is Advancing Today
Title 6: 10 Information Technology Stocks Whale Activity In Today's Session
Title 7: Best Stock to Buy Right Now: Nike vs. Apple
Title 8: Should You Buy or Sell AAPL Stock? Here’s How High Apple Can Go This Year
Title 9: Under the Radar: Uncovering Profitable, Undervalued Stocks
Title 10: Apple, Alibaba to bring AI to iPhones in China: report (AAPL:NASDAQ)
Title 11: Apple Inc. (AAPL): Among the Best Dividend Stocks to Invest In Now According to Warren Buffett
Title 12: Why Apple (AAPL) Stock Is Trading Up Today
Title 13: Apple (AAPL) and Alibaba (BABA) Shares Rise on Reports of Chinese AI iPhone Partnership
Title 14: Apple Stock: A Smarter AI Play Than Nvidia?
Title 15: iOS 18.3.1 Released With Critical Security Fix: Apple Confirms USB Restricted Mode Vulnerability Was Actively Exploited
Title 16: Jim Cramer Says China Was Considering An Investigation Against Apple Inc (AAPL)’s App Store Platform
Title 17: PLTR, MSFT and AAPL Forecast – Major US Tech Stocks Somewhat Mixed in Premarket
Title 18: Apple Reportedly Picks Alibaba As China AI Partner
Title 19: Adios Gulf of Mexico as Google, Apple maps rename to Gulf of America (AAPL:NASDAQ)
Title 20: BofA Securities Reiterates Buy Rating on Apple (AAPL)
Title 21: Apple (AAPL) and Alibaba (BABA) Join Forces to Bring AI to iPhones in China",positive,0.6,0.02,0.38
"Title 1: Apple (AAPL) Stock: Recent News and Rating Change
Title 2: Apple (AAPL) Robotics Vision Takes Shape-Here's What We Know So Far",neutral,0.11,0.03,0.86
"Title 1: Apple (AAPL) Shares Rise Ahead of “New Family Member” Next Week
Title 2: Apple Inc. (AAPL): Among Lee Munder Capital Group’s Top Stock Picks",neutral,0.37,0.0,0.63
"Title 1: Apple Inc. (AAPL): Among the Best Forever Stocks to Buy Right Now
Title 2: Apple Inc. (AAPL): Among the Best Streaming Service Stocks to Buy According to Analysts
Title 3: Apple Stock Price in 5 Years: AAPL Shares Have Further Room To Grow
Title 4: Is Apple Inc. (AAPL) the Most Profitable Tech Stock to Buy Now?
Title 5: Apple Inc. (AAPL) Teases New Product Launch with AI and In-House Modem
Title 6: Apple (AAPL) Gains Analyst Confidence with Upcoming Product Launches",neutral,0.22,0.03,0.75
Title 1: Is Apple Stock A Buy After iPhone 16e Debut?,neutral,0.07,0.01,0.93
Title 1: Is Apple Inc. (AAPL) the Top Stock to Buy According to Sustainable Insight Capital Management?,neutral,0.08,0.0,0.92
Title 1: Is Apple Inc. (AAPL) Buying Back Its Stock in 2025?,neutral,0.0,0.03,0.97
"Title 1: AAPL, NVDA, TSLA: Magnificent 7 Stocks Fall into Correction Territory
Title 2: Apple Inc. (AAPL): Among the Best Fortune 500 Stocks to Buy According to Hedge Funds",neutral,0.43,0.01,0.56
"Title 1: Jim Cramer on Apple Inc. (AAPL): ‘It’s Very Hard To Own Apple Here Now Because You Do Not Know If The President Is Going To Attach Tariffs To Taiwan’
Title 2: Apple Inc. (AAPL) Maintained at ‘Buy’ as iPhone 16e and AI Investments Boost Optimism",neutral,0.3,0.02,0.68
"Title 1: Apple Inc. (AAPL): Among Best Stocks To Invest In From Couch Potato Stock Portfolio
Title 2: Is Apple Inc. (AAPL) The Best Money Making Stock To Buy Now?",neutral,0.17,0.01,0.83
"Title 1: Apple (AAPL) Makes an Interesting Gamble on the iPhone 16e, and It's All About China
Title 2: Apple (AAPL): Analysts Warn Two Things Threaten Stock in 2025
Title 3: Jefferies Analysts Warn of Weaker iPhone 16e Demand: Is Apple (AAPL) Facing Growth Challenges in China?
Title 4: Apple (AAPL) Is the Best Technology Stock to Own in a Trade War, Says Evercore ISI
Title 5: Wedbush Sticks to Buy Rating on Apple (AAPL) Stock as Alibaba Deal Unlocks AI Growth
Title 6: iPad Air, iPad Get Upgrades at Apple (NASDAQ:AAPL)",mixed,0.39,0.27,0.34
